codigo;region;nombre_comuna;poblacion;pobreza_n;pobreza_p;limite_inferior;limite_superior
13302;Metropolitana;Lampa;137016;3,50836413448542e+04;0,25605506907845937;0,19123563363063248;0,3208745045262864
13303;Metropolitana;Tiltil;22110;6,39257229865365e+03;0,28912583892599059;0,20814791113920281;0,3701037667127784
13401;Metropolitana;San Bernardo;343570;6,42761132897647e+04;0,18708302031540799;0,14036790381552769;0,2337981368152884
13402;Metropolitana;Buin;114827;2,19555860238328e+04;0,19120577933615629;0,13343955157776441;0,2489720070945482
13403;Metropolitana;Calera De Tango;29640;5,50817468361122e+03;0,18583585302332056;0,12246455208261040;0,2492071539640308
13404;Metropolitana;Paine;86258;1,80697648967807e+04;0,20948509004127919;0,14273085073742681;0,2762393293451317
13501;Metropolitana;Melipilla;146241;3,33595448683786e+04;0,22811348984469856;0,16578183703425359;0,2904451426551437
13502;Metropolitana;Alhué;7691;2,23887710930312e+03;0,29110351180641209;0,22536524518407200;0,3568417784287523
13503;Metropolitana;Curacaví;37653;9,73023990972313e+03;0,25841871589841803;0,18975727670385159;0,3270801550929844
13504;Metropolitana;María Pinto;15382;4,17763042043146e+03;0,27159214799320358;0,20136495383139180;0,3418193421550156
13505;Metropolitana;San Pedro;12336;3,93861230327175e+03;0,31927791044680198;0,23086518491831909;0,4076906359752847
13601;Metropolitana;Talagante;84153;1,42974639432281e+04;0,16989844620189540;0,11097028192853570;0,2288266104752551
13602;Metropolitana;El Monte;41392;9,50516657249907e+03;0,22963776991928567;0,15655335577224999;0,3027221840663215
13603;Metropolitana;Isla De Maipo;41550;9,50526048635888e+03;0,22876679870899830;0,16208714630128310;0,2954464511167134
13604;Metropolitana;Padre Hurtado;78847;1,54184909610878e+04;0,19554949409727440;0,13534556052865890;0,2557534276658898
13605;Metropolitana;Peñaflor;104684;1,58396826564341e+04;0,15130949005038161;0,09529798763218549;0,2073209924685777
14101;Los Ríos;Valdivia;180022;2,49550640126305e+04;0,13862230178883991;0,12205195815138510;0,1551926454262947
14102;Los Ríos;Corral;5427;1,25922060646810e+03;0,23202885691323008;0,15143363692220840;0,3126240769042519
14103;Los Ríos;Lanco;17906;2,79628729220216e+03;0,15616482141193769;0,11198866219522240;0,2003409806286529
14104;Los Ríos;Los Lagos;20525;4,95037271233425e+03;0,24118746466914737;0,19738794699366241;0,2849869823446325
14105;Los Ríos;Máfil;7387;1,69280972773329e+03;0,22916065083705039;0,14537999673904561;0,3129413049350552
14106;Los Ríos;Mariquina;23720;6,29982181523947e+03;0,26559113892240588;0,22125376749241521;0,3099285103523967
14107;Los Ríos;Paillaco;20889;3,59501585278433e+03;0,17210090730931740;0,13549912729137301;0,2087026873272619
14108;Los Ríos;Panguipulli;36145;9,07297751224490e+03;0,25101611598408918;0,21692056413201216;0,2851116678361660
14201;Los Ríos;La Unión;39640;7,36808404417482e+03;0,18587497588735680;0,15645910538755309;0,2152908463871605
14202;Los Ríos;Futrono;15228;2,90494643855609e+03;0,19076349084292690;0,14887156584915520;0,2326554158366987
14203;Los Ríos;Lago Ranco;10287;3,64659472423053e+03;0,35448573191703392;0,29664781912019428;0,4123236447138733
14204;Los Ríos;Río Bueno;32950;6,92949671682551e+03;0,21030339049546307;0,17605205357168330;0,2445547274192430
15101;Arica y Parinacota;Arica;253909;4,65698034047986e+04;0,18341139307704168;0,16530207064303890;0,2015207155110446
15102;Arica y Parinacota;Camarones;1242;4,60041462002362e+02;0,37040375362508976;0,21614224748726929;0,5246652597629102
15201;Arica y Parinacota;Putre;2152;6,64452385890363e+02;0,30876040236541030;0,18693267025580340;0,4305881344750172
15202;Arica y Parinacota;General Lagos;668;3,91708166531596e+02;0,58638947085568249;0,43468015052128750;0,7380987911900776
16101;Ñuble;Chillán;202038;2,56513705137133e+04;0,12696309859389479;0,10616749320190920;0,1477587039858804
16102;Ñuble;Bulnes;22711;2,28941916383118e+03;0,10080662074902801;0,05764121237435757;0,1439720291236985
16103;Ñuble;Chillán Viejo;34933;5,31742030508475e+03;0,15221768256619109;0,11503366957904450;0,1894016955533376
16104;Ñuble;El Carmen;12263;2,32476406644512e+03;0,18957547634715141;0,13228395070363089;0,2468670019906718
16105;Ñuble;Pemuco;8605;1,72843752087623e+03;0,20086432549404151;0,12748391425181119;0,2742447367362718
16106;Ñuble;Pinto;12064;2,70911680393683e+03;0,22456206929184641;0,16656559091267031;0,2825585476710225
16107;Ñuble;Quillón;19102;2,29276911632945e+03;0,12002769952515201;0,07307834842757308;0,1669770506227309
16108;Ñuble;San Ignacio;16621;3,59601508382161e+03;0,21635371420622176;0,16589125964337231;0,2668161687690714
16109;Ñuble;Yungay;18748;2,40839105783079e+03;0,12846122561504111;0,08647537962511985;0,1704470716049623
16201;Ñuble;Quirihue;12228;2,31459784045133e+03;0,18928670595774696;0,14068404546965929;0,2378893664458347
16202;Ñuble;Cobquecura;5248;1,27351907286745e+03;0,24266750626285280;0,15821570276486549;0,3271193097608401
16203;Ñuble;Coelemu;16888;3,11192255919151e+03;0,18426827091375589;0,13391088533071241;0,2346256564967995
16204;Ñuble;Ninhue;5377;1,14988882115273e+03;0,21385323064026990;0,13022367807073590;0,2974827832098039
16205;Ñuble;Portezuelo;4899;1,01878988505382e+03;0,20795874363213351;0,14556207151469661;0,2703554157495703
16206;Ñuble;Ránquil;6285;9,71610710279572e+02;0,15459199845339250;0,08334689509828321;0,2258371018085019
16207;Ñuble;Treguaco;5747;1,07872315402397e+03;0,18770195824325300;0,13866509951405800;0,2367388169724479
16301;Ñuble;San Carlos;56782;8,55525643078166e+03;0,15066845885635699;0,11500899469401052;0,1863279230187036
16302;Ñuble;Coihueco;28817;7,05789319524203e+03;0,24492116442523620;0,18955179975097089;0,3002905290995015
16303;Ñuble;Ñiquén;11543;2,21164459741408e+03;0,19160050224500430;0,11771469203929430;0,2654863124507141
16304;Ñuble;San Fabián;4738;7,12309026272598e+02;0,15033960031080590;0,07914609157347342;0,2215331090481384
16305;Ñuble;San Nicolás;12365;2,43747808885268e+03;0,19712722109605141;0,12427326765900050;0,2699811745331023
