cut_comuna;comuna;ytotcor;yoprcor;ytrabajocor;y2803;y0101;ytot;dau;qaut;dautr;qautr;edad;esc
8308;Quilaco;194016;400000,0;400000,0;200000;400000;194016,0;3;2;3;2;40,2281750777326;9,16714947856315
8309;Quilleco;190000;400000,0;400000,0;140000;408000;186521,0;3;2;3;2;42,5090454772614;9,85846438482886
8310;San Rosendo;203861;350000,0;350000,0;NA;490000;203861,0;3;2;4;2;46,6855222626715;9,62360876897133
8311;Santa Bárbara;193000;407000,0;409500,0;221000;407000;193000,0;2;1;3;2;41,6027023338338;9,37801860226982
8312;Tucapel;199778;400000,0;403333,0;180000;450000;197997,0;4;2;5;3;42,9088304245897;10,43905183407096
8313;Yumbel;204768;400000,0;412500,0;320000;450000;203917,0;4;2;4;2;42,0540979172302;9,81446523919961
8314;Alto Biobío;76193;400000,0;320000,0;200000;400000;76193,0;2;1;3;2;34,2420664206642;8,76116201988692
9101;Temuco;202118;450000,0;500000,0;250000;500000;199778,0;4;2;6;3;38,1817252171421;12,24671381972031
9102;Carahue;193917;300000,0;250000,0;190000;370000;173261,0;2;1;3;2;46,3436679339944;8,91022314478464
9103;Cunco;154736;400000,0;400000,0;193000;410000;76103,0;3;2;4;2;38,3658901001605;10,41751234229292
9104;Curarrehue;195000;384000,0;350000,0;184000;400000;194000,0;3;2;4;2;39,5165199642812;8,99241603466956
9105;Freire;150000;400000,0;400000,0;290000;400000;129032,0;2;1;4;2;40,8485716528018;9,58775373420146
9106;Galvarino;127826;350000,0;330000,0;250000;400000;127826,0;3;2;4;2;38,9276582228222;8,55746176105829
9107;Gorbea;193935;387273,0;365000,0;230000;450000;150000,0;3;2;5;3;42,4735586481113;10,44717710750193
9108;Lautaro;199778;400000,0;410000,0;305000;400000;199778,0;3;2;5;3;37,9744090689822;10,45805138032217
9109;Loncoche;193935;500000,0;500000,0;193917;500000;166333,0;3;2;5;3;42,1256660746004;10,59970894751667
9110;Melipeuco;180652;400000,0;365250,0;240000;450000;154000,0;2;1;4;2;42,9403269322330;10,13273832130649
9111;Nueva Imperial;154393;375218,0;350000,0;193000;400000;100000,0;3;2;4;2;38,9557548140526;10,41189346953666
9112;Padre Las Casas;150611;400000,0;404050,0;202000;450000;127221,0;3;2;5;3;39,5327431525162;10,65778022743096
9113;Perquenco;150000;340000,0;380000,0;193000;400000;150000,0;2;1;3;2;40,4122589531680;9,40081314585804
9114;Pitrufquén;180000;400000,0;400000,0;193000;400000;148075,0;3;2;5;3;39,0825035023286;10,38933158338802
9115;Pucón;204500;450000,0;500000,0;170000;500000;203935,0;4;2;6;3;39,9603781042092;11,43228714386139
9116;Saavedra;127736;360000,0;200000,0;170000;360000;100000,0;2;1;3;2;42,9878854625551;7,88612997090204
9117;Teodoro Schmidt;120000;343000,0;200000,0;170000;400000;70914,0;2;1;2;1;42,2625903843714;8,74546912590217
9118;Toltén;140000;380000,0;300000,0;220000;380000;100000,0;1;1;2;1;43,0532852564103;9,16496558272015
9119;Vilcún;193917;400000,0;400000,0;250000;400000;193917,0;3;2;5;3;39,5708605954356;9,87306394724735
9120;Villarrica;192000;430000,0;460470,0;193000;450000;180000,0;4;2;5;3;35,2229599307774;11,24206392023997
9121;Cholchol;60000;303552,0;233333,0;193000;400000;56521,0;2;1;3;2;37,8241907191835;8,95232959447800
9201;Angol;198861;450000,0;460000,0;193000;450000;191398,0;4;2;6;3;40,1475398242605;11,09719259322468
9202;Collipulli;188000;400000,0;401667,0;225870;400000;184000,0;4;2;6;3;39,0212717638153;9,48815120406793
9203;Curacautín;199778;430000,0;450000,0;325000;450000;130000,0;4;2;6;3;42,2578768251180;9,98304864584010
9204;Ercilla;111667;400000,0;230000,0;180000;400000;111667,0;2;1;3;2;40,9276807980050;8,82813174169423
9205;Lonquimay;199778;360000,0;350000,0;210000;400000;199778,0;2;1;4;2;40,1250338051023;9,02760600706714
9206;Los Sauces;107826;400000,0;401667,0;193917;400000;101028,0;3;2;4;2;38,9994663820704;9,09552481692433
9207;Lumaco;193917;400000,0;400000,0;193000;400000;178846,0;3;2;4;2;44,3574942274872;7,94974874371859
9208;Purén;193935;400000,0;400000,0;185000;400000;193935,0;3;2;5;3;42,0806557917285;9,32721922511035
9209;Renaico;135736;400000,0;425000,0;163000;400000;134861,0;3;2;5;3;37,4770046630703;9,36907020872865
9210;Traiguén;174750;400000,0;400000,0;195000;400000;150000,0;3;2;4;2;41,8899605890894;10,06737544813945
9211;Victoria;150000;400000,0;400000,0;300000;400000;124393,0;2;1;4;2;41,8806835778034;10,32906473847817
