ytotcor;yoprcor;ytrabajocor;y2803;y0101;ytot;dau;qaut;dautr;qautr;edad;esc;nivel;cut_comuna;comuna;region
270000,0000;480000,0000;502500,0000;288000,0;500000;230000,0000;5,0000;3,000;4;2;38,6698143266792;11,79086965796784;comuna;13129;San Joaquín;NA
421694,0000;620000,0000;700000,0000;215000,0;700000;408334,0000;7,0000;4,000;6;3;36,3476828714197;14,09351796981149;comuna;13130;San Miguel;NA
223917,0000;450000,0000;500000,0000;170000,0;500000;204750,0000;4,0000;2,000;3;2;42,5765453903213;10,75368796878047;comuna;13131;San Ramón;NA
950000,0000;2000000,0000;2000000,0000;650000,0;2000000;922250,0000;10,0000;5,000;9;5;43,0525792430380;16,23183513296114;comuna;13132;Vitacura;NA
200000,0000;500000,0000;520000,0000;200000,0;520000;193917,0000;5,0000;3,000;4;2;36,6537267432646;12,03118632822764;comuna;13201;Puente Alto;NA
211671,0000;410000,0000;451667,0000;200000,0;450000;200000,0000;5,0000;3,000;4;2;36,1718832891252;11,90746093749988;comuna;13202;Pirque;NA
244051,0000;400000,0000;405000,0000;278000,0;500000;240000,0000;5,0000;3,000;4;2;40,3854757321956;11,44726827065726;comuna;13203;San José de Maipo;NA
216667,0000;500000,0000;502500,0000;198000,0;500000;200000,0000;5,0000;3,000;4;2;33,3934032967822;11,55874538490720;comuna;13301;Colina;NA
180000,0000;450000,0000;480000,0000;200000,0;480000;140000,0000;4,0000;2,000;4;2;34,1880975666715;10,89962950155571;comuna;13302;Lampa;NA
193917,0000;400000,0000;392000,0000;235000,0;400000;193917,0000;3,0000;2,000;2;1;43,5427369753979;9,55063222738564;comuna;13303;Tiltil;NA
199917,0000;500000,0000;508333,0000;205000,0;550000;193917,0000;5,0000;3,000;4;2;35,5287731043491;11,61984892425988;comuna;13401;San Bernardo;NA
165000,0000;500000,0000;560000,0000;150000,0;600000;113408,0000;5,0000;3,000;4;2;32,5837803009191;12,41277612636229;comuna;13402;Buin;NA
233935,0000;450000,0000;480000,0000;220000,0;450000;233333,0000;4,0000;2,000;3;2;42,5687537952902;10,24268203085722;comuna;13403;Calera de Tango;NA
193935,0000;420000,0000;450000,0000;220000,0;450000;193917,0000;5,0000;3,000;4;2;36,5878322764642;10,89190139297804;comuna;13404;Paine;NA
203917,0000;450000,0000;480000,0000;240000,0;460000;200000,0000;4,0000;2,000;4;2;38,8158810697718;10,95887124414489;comuna;13501;Melipilla;NA
150000,0000;550000,0000;600000,0000;156000,0;600000;136586,0000;5,0000;3,000;4;2;37,1666450019499;9,91530486733436;comuna;13502;Alhué;NA
203945,0000;450000,0000;460000,0000;195000,0;450000;203945,0000;4,0000;2,000;3;2;41,3172765415053;10,91139198513803;comuna;13503;Curacaví;NA
193917,0000;400000,0000;400000,0000;193000,0;400000;193917,0000;3,0000;2,000;3;2;43,3706952566598;9,46843776624592;comuna;13504;María Pinto;NA
198310,0000;400000,0000;400000,0000;190000,0;400000;198084,0000;3,0000;2,000;3;2;44,6040535062830;8,73944767710354;comuna;13505;San Pedro;NA
200000,0000;450000,0000;453333,0000;280000,0;450000;199778,0000;4,0000;2,000;4;2;37,4304642844426;11,51954302232605;comuna;13601;Talagante;NA
203917,0000;460000,0000;450000,0000;180000,0;500000;200000,0000;3,0000;2,000;3;2;37,1612388867414;10,75927400095544;comuna;13602;El Monte;NA
210000,0000;480000,0000;460000,0000;200000,0;500000;209095,0000;5,0000;3,000;4;2;37,7194502611498;10,07175024342761;comuna;13603;Isla de Maipo;NA
300000,0000;500000,0000;590000,0000;193000,0;520000;280000,0000;6,0000;3,000;5;3;36,2665212760557;11,37208218071051;comuna;13604;Padre Hurtado;NA
200000,0000;600000,0000;595833,0000;186000,0;654000;160000,0000;5,0000;3,000;4;2;37,4888719075354;11,96518097371539;comuna;13605;Peñaflor;NA
209269,0000;420000,0000;450000,0000;195000,0;470000;207000,0000;4,0000;2,000;4;2;36,4548586427518;10,45135135135139;comuna;1401;Pozo Almonte;NA
199778,0000;300000,0000;300000,0000;150000,0;700000;199778,0000;3,0000;2,000;4;2;36,8741865509761;9,34502369668247;comuna;1402;Camiña;NA
193917,0000;300000,0000;300000,0000;NA;450000;193917,0000;3,0000;2,000;3;2;40,2731305449936;7,20465890183029;comuna;1403;Colchane;NA
248089,0000;405000,0000;450000,0000;250000,0;480000;248089,0000;4,0000;2,000;4;2;42,4479065238559;9,36472404477036;comuna;1404;Huara;NA
199778,0000;410000,0000;430000,0000;270000,0;500000;199778,0000;4,0000;2,000;4;2;36,4750809061486;11,24152277928021;comuna;1405;Pica;NA
250000,0000;500000,0000;504167,0000;300000,0;500000;240000,0000;5,0000;3,000;6;3;39,0053990101801;12,26391580149707;comuna;14101;Valdivia;NA
214171,0000;400000,0000;395000,0000;193000,0;450000;214171,0000;5,0000;3,000;5;3;42,0896539027984;10,05677816901407;comuna;14102;Corral;NA
214171,0000;400000,0000;382917,0000;350000,0;420000;212726,0000;4,0000;2,000;5;3;41,0415642458100;10,23066240799892;comuna;14103;Lanco;NA
209778,0000;430000,0000;450000,0000;205000,0;460000;207171,0000;4,0000;2,000;5;3;41,9749585891065;9,00425085890640;comuna;14104;Los Lagos;NA
193935,0000;400000,0000;400000,0000;250000,0;430000;188333,0000;3,0000;2,000;4;2;39,5932845924721;10,18843404808316;comuna;14105;Máfil;NA
199778,0000;400000,0000;408500,0000;233000,0;400000;199778,0000;4,0000;2,000;4;2;36,9795470838781;10,11339092872577;comuna;14106;Mariquina;NA
193935,0000;400000,0000;400000,0000;220000,0;400000;193935,0000;3,0000;2,000;4;2;37,7480850248949;9,80196721311477;comuna;14107;Paillaco;NA
200000,0000;400000,0000;400000,0000;203000,0;400000;199778,0000;3,0000;2,000;4;2;39,7745341958312;9,70266479663384;comuna;14108;Panguipulli;NA
199778,0000;400000,0000;430000,0000;240000,0;450000;199778,0000;3,0000;2,000;4;2;38,9989913253985;10,36192703461180;comuna;14201;La Unión;NA
193935,0000;400000,0000;417333,0000;300000,0;400000;193935,0000;4,0000;2,000;4;2;37,7937643583852;9,89829116003943;comuna;14202;Futrono;NA
200000,0000;400000,0000;350000,0000;151000,0;400000;200000,0000;3,0000;2,000;3;2;40,7252405481580;9,02327848872637;comuna;14203;Lago Ranco;NA
215221,0000;400000,0000;400000,0000;220000,0;400000;215120,0000;4,0000;2,000;5;3;40,4992109256454;10,05155659858457;comuna;14204;Río Bueno;NA
200000,0000;450000,0000;474167,0000;230000,0;500000;193917,0000;4,0000;2,000;5;3;36,5629632838896;12,04043548202346;comuna;15101;Arica;NA
150081,0000;400000,0000;400000,0000;300000,0;400000;150081,0000;3,0000;2,000;3;2;37,1033091202583;10,43555555555556;comuna;15102;Camarones;NA
205917,0000;340000,0000;350000,0000;240000,0;560000;200080,0000;3,0000;2,000;3;2;38,7886669763122;9,45476624165151;comuna;15201;Putre;NA
50000,0000;300000,0000;300000,0000;260000,0;650000;50000,0000;2,0000;1,000;2;1;40,2087087087087;10,56537102473498;comuna;15202;General Lagos;NA
203917,0000;420000,0000;450000,0000;300000,0;450000;199796,0000;4,0000;2,000;6;3;39,9134585405675;11,54018645701761;comuna;16101;Chillán;NA
196917,0000;400000,0000;400000,0000;343000,0;400000;193935,0000;3,0000;2,000;4;2;39,5087819694501;10,35100558356369;comuna;16102;Bulnes;NA
199070,0000;410000,0000;420000,0000;180000,0;410000;193935,0000;4,0000;2,000;5;3;39,4253742022267;10,92433407619653;comuna;16103;Chillán Viejo;NA
208667,0000;380000,0000;359250,0000;192000,0;400000;207952,0000;4,0000;2,000;5;3;42,9309360730600;8,98070486316211;comuna;16104;El Carmen;NA
193935,0000;400000,0000;400000,0000;390000,0;400000;193917,0000;3,0000;2,000;4;2;43,3020579002442;8,93431060710829;comuna;16105;Pemuco;NA
204000,0000;400000,0000;400000,0000;230000,0;400000;200000,0000;4,0000;2,000;6;3;40,6795126802585;10,45905341712493;comuna;16106;Pinto;NA
178861,0000;400000,0000;400000,0000;193000,0;400000;166667,0000;3,0000;2,000;4;2;43,4955733668603;10,70314726071743;comuna;16107;Quillón;NA
199778,0000;370000,0000;370000,0000;190000,0;400000;195000,0000;3,0000;2,000;5;3;44,6134681350428;9,18909066360629;comuna;16108;San Ignacio;NA
