cut_comuna;comuna;pobreza_p;pobreza_multi_p
5105;Puchuncaví;0,00000000000000000;0,3496079657511184
5107;Quintero;0,10193955796120883;0,3096128843959776
5109;Viña del Mar;0,06965003710862633;0,1468740400011962
5301;Los Andes;0,09363388654941789;0,1608357982776960
5302;Calle Larga;0,01219370572523516;0,1135175937754035
5303;Rinconada;0,07786780383795310;0,0910021321961620
5304;San Esteban;0,03826315295882960;0,2227328144049517
5401;La Ligua;0,08905599077737313;0,3154557602117012
5402;Cabildo;0,06850503784409198;0,2552186279708817
5403;Papudo;0,08503937007874016;0,1834645669291338
5404;Petorca;0,05326168929110105;0,1181184012066365
5405;Zapallar;0,03672178988326848;0,2898832684824903
5501;Quillota;0,04346430470152772;0,1431724027244184
5502;Calera;0,07136485280999108;0,1851211715730003
5503;Hijuelas;0,12067449438783427;0,1655718202037966
5504;La Cruz;0,02340876156504292;0,1115074499312600
5506;Nogales;0,05100182149362478;0,1042487397805736
5601;San Antonio;0,05577738064845545;0,1123206535613990
5602;Algarrobo;0,06344161210348992;0,2427690547326934
5603;Cartagena;0,04401135288552507;0,3561400189214759
5604;El Quisco;0,11261725315837988;0,0529198069728352
5605;El Tabo;0,01095282892084397;0,1612014514178202
5606;Santo Domingo;0,00000000000000000;0,0577684414640058
5701;San Felipe;0,08314443951113500;0,1750753627929802
5702;Catemu;0,12448453608247423;0,1260309278350515
5703;Llaillay;0,15436688491843303;0,1140457958791107
5704;Panquehue;0,09916183107672469;0,2335267569310122
5705;Putaendo;0,04479615234047313;0,1744309602371232
5706;Santa María;0,09399259524662607;0,1288665950077630
5801;Quilpué;0,05652239974754263;0,1650907560864433
5802;Limache;0,07443867045788803;0,1493087557603687
5803;Olmué;0,07647029229763043;0,2889772098405192
5804;Villa Alemana;0,03596524053053927;0,1498898174712070
6101;Rancagua;0,06888853628926617;0,1515518278395442
6102;Codegua;0,01039573081987664;0,1923210201677178
6103;Coinco;0,10356963298139769;0,2865761689291101
6104;Coltauco;0,04631453570937744;0,1514040954693298
6105;Doñihue;0,12379766403297836;0,1632600480934387
6106;Graneros;0,05198573253833049;0,1195964650766610
6107;Las Cabras;0,05721493072057909;0,1457975359192776
